Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"LEPR","Leptin Receptor","Protein Coding","P48357","62","GC01P067643","20.1355876922607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPR"
"ATP6V0A2","ATPase H+ Transporting V0 Subunit A2","Protein Coding","Q9Y487","55","GC12P123712","20.1154861450195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V0A2"
"FAH","Fumarylacetoacetate Hydrolase","Protein Coding","P16930","59","GC15P080152","20.0615081787109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAH"
"SNCA","Synuclein Alpha","Protein Coding","P37840","65","GC04M089724","20.052677154541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCA"
"MTTP","Microsomal Triglyceride Transfer Protein","Protein Coding","P55157","57","GC04P099563","19.974100112915","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTTP"
"SLC25A3","Solute Carrier Family 25 Member 3","Protein Coding","Q00325","58","GC12P098593","19.8559341430664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A3"
"VDR","Vitamin D Receptor","Protein Coding","P11473","61","GC12M047841","19.8492317199707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR"
"COG2","Component Of Oligomeric Golgi Complex 2","Protein Coding","Q14746","51","GC01P230642","19.8399791717529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COG2"
"PTS","6-Pyruvoyltetrahydropterin Synthase","Protein Coding","Q03393","58","GC11P112226","19.7748222351074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTS"
"AGL","Amylo-Alpha-1, 6-Glucosidase, 4-Alpha-Glucanotransferase","Protein Coding","P35573","58","GC01P099850","19.7213687896729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGL"
"LIPE","Lipase E, Hormone Sensitive Type","Protein Coding","Q05469","60","GC19M042401","19.5148849487305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPE"
"ALPL","Alkaline Phosphatase, Biomineralization Associated","Protein Coding","P05186","63","GC01P021508","19.4878635406494","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPL"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","65","GC03P179148","19.4602203369141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"PNP","Purine Nucleoside Phosphorylase","Protein Coding","P00491","62","GC14P051461","19.407320022583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNP"
"FGF23","Fibroblast Growth Factor 23","Protein Coding","Q9GZV9","58","GC12M004368","19.3959941864014","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF23"
"PTH","Parathyroid Hormone","Protein Coding","P01270","58","GC11M013492","19.3416652679443","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTH"
"REN","Renin","Protein Coding","P00797","61","GC01M204154","19.3126678466797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN"
"TTR","Transthyretin","Protein Coding","P02766","61","GC18P031557","19.2973117828369","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTR"
"AGXT","Alanine--Glyoxylate Aminotransferase","Protein Coding","P21549","58","GC02P240868","19.2619495391846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGXT"
"GLUL","Glutamate-Ammonia Ligase","Protein Coding","P15104","61","GC01M182378","19.2593078613281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLUL"
"LMNA","Lamin A/C","Protein Coding","P02545","62","GC01P156082","19.2365016937256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA"
"GSTP1","Glutathione S-Transferase Pi 1","Protein Coding","P09211","62","GC11P067583","19.2099113464355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTP1"
"SUCLG1","Succinate-CoA Ligase GDP/ADP-Forming Subunit Alpha","Protein Coding","P53597","57","GC02M084423","19.141658782959","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLG1"
"OPA1","OPA1 Mitochondrial Dynamin Like GTPase","Protein Coding","O60313","56","GC03P193594","19.1376647949219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPA1"
"HMGCR","3-Hydroxy-3-Methylglutaryl-CoA Reductase","Protein Coding","P04035","61","GC05P075336","19.1083431243896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCR"
"SUCLA2","Succinate-CoA Ligase ADP-Forming Subunit Beta","Protein Coding","Q9P2R7","58","GC13M047745","19.0774555206299","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLA2"
"GATM","Glycine Amidinotransferase","Protein Coding","P50440","58","GC15M045361","19.0771236419678","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATM"
"GHRL","Ghrelin And Obestatin Prepropeptide","Protein Coding","Q9UBU3","54","GC03M010285","19.0700969696045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRL"
"GCH1","GTP Cyclohydrolase 1","Protein Coding","P30793","59","GC14M054842","19.0091495513916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCH1"
"MT-CYB","Mitochondrially Encoded Cytochrome B","Protein Coding","P00156","44","GCMTP014749","18.9257144927979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CYB"
"MDH2","Malate Dehydrogenase 2","Protein Coding","P40926","60","GC07P076048","18.9073581695557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDH2"
"AKT2","AKT Serine/Threonine Kinase 2","Protein Coding","P31751","66","GC19M040230","18.8877716064453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2"
"DNAH8","Dynein Axonemal Heavy Chain 8","Protein Coding","Q96JB1","50","GC06P156466","18.8643836975098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAH8"
"SLC25A4","Solute Carrier Family 25 Member 4","Protein Coding","P12235","61","GC04P185143","18.7736053466797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A4"
"HK1","Hexokinase 1","Protein Coding","P19367","63","GC10P069269","18.7445182800293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HK1"
"FECH","Ferrochelatase","Protein Coding","P22830","59","GC18M057544","18.7195320129395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FECH"
"FMO3","Flavin Containing Dimethylaniline Monoxygenase 3","Protein Coding","P31513","58","GC01P171090","18.7046451568604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FMO3"
"PRKAG2","Protein Kinase AMP-Activated Non-Catalytic Subunit Gamma 2","Protein Coding","Q9UGJ0","62","GC07M151556","18.6565265655518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAG2"
"DLAT","Dihydrolipoamide S-Acetyltransferase","Protein Coding","P10515","58","GC11P112736","18.6303253173828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLAT"
"MT-TP","Mitochondrially Encoded TRNA-Pro (CCN)","RNA Gene","","20","GCMTM015957","18.5726947784424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TP"
"MAT1A","Methionine Adenosyltransferase 1A","Protein Coding","Q00266","59","GC10M080271","18.5564498901367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAT1A"
"FASN","Fatty Acid Synthase","Protein Coding","P49327","61","GC17M082078","18.5338230133057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASN"
"ALDH7A1","Aldehyde Dehydrogenase 7 Family Member A1","Protein Coding","P49419","60","GC05M126541","18.3975524902344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH7A1"
"GLA","Galactosidase Alpha","Protein Coding","P06280","62","GC0XM101393","18.3327617645264","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLA"
"TYMP","Thymidine Phosphorylase","Protein Coding","P19971","59","GC22M050525","18.323522567749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYMP"
"CCDC115","Coiled-Coil Domain Containing 115","Protein Coding","Q96NT0","48","GC02M137656","18.3129253387451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC115"
"MOCS2","Molybdenum Cofactor Synthesis 2","Protein Coding","O96033","55","GC05M053095","18.2562160491943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOCS2"
"GLS","Glutaminase","Protein Coding","O94925","62","GC02P190880","18.143648147583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLS"
"GOT2","Glutamic-Oxaloacetic Transaminase 2","Protein Coding","P00505","60","GC16M058707","18.1230640411377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOT2"
"HNF1A","HNF1 Homeobox A","Protein Coding","P20823","59","GC12P120978","18.0334510803223","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A"
"APOC2","Apolipoprotein C2","Protein Coding","P02655","56","GC19P133241","17.9945888519287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOC2"
"ATP6AP1","ATPase H+ Transporting Accessory Protein 1","Protein Coding","Q15904","57","GC0XP154428","17.9587249755859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6AP1"
"GLDC","Glycine Decarboxylase","Protein Coding","P23378","59","GC09M006522","17.9542026519775","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLDC"
"ALAD","Aminolevulinate Dehydratase","Protein Coding","P13716","58","GC09M113386","17.9436817169189","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALAD"
"PDP1","Pyruvate Dehydrogenase Phosphatase Catalytic Subunit 1","Protein Coding","Q9P0J1","59","GC08P093857","17.8459720611572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDP1"
"SLC6A3","Solute Carrier Family 6 Member 3","Protein Coding","Q01959","63","GC05M001392","17.8057861328125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A3"
"H6PD","Hexose-6-Phosphate Dehydrogenase/Glucose 1-Dehydrogenase","Protein Coding","O95479","55","GC01P009234","17.7990207672119","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H6PD"
"ALDH3A2","Aldehyde Dehydrogenase 3 Family Member A2","Protein Coding","P51648","59","GC17P019648","17.7326259613037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH3A2"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","17.7039642333984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"ABCD1","ATP Binding Cassette Subfamily D Member 1","Protein Coding","P33897","59","GC0XP153724","17.6360950469971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD1"
"PANK2","Pantothenate Kinase 2","Protein Coding","Q9BZ23","57","GC20P009571","17.6341457366943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANK2"
"IDUA","Alpha-L-Iduronidase","Protein Coding","P35475","58","GC04P000986","17.6231822967529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDUA"
"SDHB","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Protein Coding","P21912","61","GC01M020330","17.6018505096436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB"
"OAT","Ornithine Aminotransferase","Protein Coding","P04181","60","GC10M124397","17.5992126464844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAT"
"PGM1","Phosphoglucomutase 1","Protein Coding","P36871","60","GC01P063593","17.5663928985596","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGM1"
"PRKAA1","Protein Kinase AMP-Activated Catalytic Subunit Alpha 1","Protein Coding","Q13131","59","GC05M040759","17.5658531188965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAA1"
"SREBF2","Sterol Regulatory Element Binding Transcription Factor 2","Protein Coding","Q12772","55","GC22P041833","17.5497093200684","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SREBF2"
"CAD","Carbamoyl-Phosphate Synthetase 2, Aspartate Transcarbamylase, And Dihydroorotase","Protein Coding","P27708","62","GC02P027217","17.5012645721436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAD"
"CD36","CD36 Molecule (CD36 Blood Group)","Protein Coding","P16671","63","GC07P080369","17.4994506835938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36"
"XIAP","X-Linked Inhibitor Of Apoptosis","Protein Coding","P98170","64","GC0XP123859","17.4866790771484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIAP"
"SERPINE1","Serpin Family E Member 1","Protein Coding","P05121","63","GC07P101127","17.4818935394287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"KCNJ11","Potassium Inwardly Rectifying Channel Subfamily J Member 11","Protein Coding","Q14654","58","GC11M018031","17.4657745361328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ11"
"TFR2","Transferrin Receptor 2","Protein Coding","Q9UP52","58","GC07M100620","17.4652729034424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFR2"
"TNFRSF11B","TNF Receptor Superfamily Member 11b","Protein Coding","O00300","59","GC08M118923","17.4644832611084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11B"
"PPARD","Peroxisome Proliferator Activated Receptor Delta","Protein Coding","Q03181","58","GC06P156423","17.43603515625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARD"
"GPHN","Gephyrin","Protein Coding","Q9NQX3","61","GC14P066507","17.418794631958","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPHN"
"SDHA","Succinate Dehydrogenase Complex Flavoprotein Subunit A","Protein Coding","P31040","61","GC05P000235","17.4187679290771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA"
"HJV","Hemojuvelin BMP Co-Receptor","Protein Coding","Q6ZVN8","56","GC01M164625","17.3862686157227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HJV"
"GUSB","Glucuronidase Beta","Protein Coding","P08236","62","GC07M065960","17.3850269317627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUSB"
"BCS1L","BCS1 Homolog, Ubiquinol-Cytochrome C Reductase Complex Chaperone","Protein Coding","Q9Y276","56","GC02P218658","17.3335399627686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCS1L"
"HSPD1","Heat Shock Protein Family D (Hsp60) Member 1","Protein Coding","P10809","61","GC02M197486","17.2804222106934","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPD1"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","36","GC11M001995","17.2576332092285","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"MT-CO3","Mitochondrially Encoded Cytochrome C Oxidase III","Protein Coding","P00414","43","GCMTP009209","17.2560272216797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO3"
"HSD17B4","Hydroxysteroid 17-Beta Dehydrogenase 4","Protein Coding","P51659","59","GC05P119452","17.2184467315674","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B4"
"ABCC2","ATP Binding Cassette Subfamily C Member 2","Protein Coding","Q92887","61","GC10P099782","17.1916027069092","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC2"
"HSD3B2","Hydroxy-Delta-5-Steroid Dehydrogenase, 3 Beta- And Steroid Delta-Isomerase 2","Protein Coding","P26439","57","GC01P119414","17.1182231903076","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD3B2"
"ADK","Adenosine Kinase","Protein Coding","P55263","63","GC10P075124","17.0755138397217","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADK"
"CYP2R1","Cytochrome P450 Family 2 Subfamily R Member 1","Protein Coding","Q6VVX0","55","GC11M014877","16.9253940582275","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2R1"
"ABCB1","ATP Binding Cassette Subfamily B Member 1","Protein Coding","P08183","64","GC07M087504","16.9085254669189","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1"
"ACY1","Aminoacylase 1","Protein Coding","Q03154","57","GC03P051983","16.8997631072998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACY1"
"PMM2","Phosphomannomutase 2","Protein Coding","O15305","58","GC16P008788","16.8713359832764","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMM2"
"SUMF1","Sulfatase Modifying Factor 1","Protein Coding","Q8NBK3","54","GC03M003700","16.8670635223389","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUMF1"
"ISCU","Iron-Sulfur Cluster Assembly Enzyme","Protein Coding","Q9H1K1","58","GC12P108561","16.8435153961182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISCU"
"ASPA","Aspartoacylase","Protein Coding","P45381","56","GC17P003472","16.839506149292","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASPA"
"CYP24A1","Cytochrome P450 Family 24 Subfamily A Member 1","Protein Coding","Q07973","59","GC20M054153","16.8281078338623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP24A1"
"SLC16A1","Solute Carrier Family 16 Member 1","Protein Coding","P53985","61","GC01M113130","16.8141403198242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A1"
"SP1","Sp1 Transcription Factor","Protein Coding","P08047","58","GC12P053380","16.7995452880859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1"
"ESR1","Estrogen Receptor 1","Protein Coding","P03372","66","GC06P151656","16.7698192596436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"LIAS","Lipoic Acid Synthetase","Protein Coding","O43766","55","GC04P039558","16.744457244873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIAS"
"GNE","Glucosamine (UDP-N-Acetyl)-2-Epimerase/N-Acetylmannosamine Kinase","Protein Coding","Q9Y223","54","GC09M036214","16.7326412200928","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNE"
"MEG3","Maternally Expressed 3","RNA Gene","","36","GC14P119042","16.6657543182373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3"
"PYCR1","Pyrroline-5-Carboxylate Reductase 1","Protein Coding","P32322","56","GC17M081932","16.656566619873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYCR1"
"AMACR","Alpha-Methylacyl-CoA Racemase","Protein Coding","Q9UHK6","58","GC05M033986","16.6203060150146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMACR"
"SLC46A1","Solute Carrier Family 46 Member 1","Protein Coding","Q96NT5","55","GC17M088840","16.5977764129639","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC46A1"
"GCG","Glucagon","Protein Coding","P01275","54","GC02M162142","16.5882358551025","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCG"
"TKT","Transketolase","Protein Coding","P29401","58","GC03M053224","16.5691585540771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TKT"
"CTSD","Cathepsin D","Protein Coding","P07339","65","GC11M001752","16.5379905700684","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSD"
"CES1","Carboxylesterase 1","Protein Coding","P23141","61","GC16M055836","16.53000831604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CES1"
"CPOX","Coproporphyrinogen Oxidase","Protein Coding","P36551","57","GC03M098576","16.5233898162842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPOX"
"IDH2","Isocitrate Dehydrogenase (NADP(+)) 2","Protein Coding","P48735","65","GC15M090083","16.5121879577637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH2"
"PLA2G6","Phospholipase A2 Group VI","Protein Coding","O60733","59","GC22M083204","16.4954109191895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G6"
"SLC30A10","Solute Carrier Family 30 Member 10","Protein Coding","Q6XR72","54","GC01M219685","16.385986328125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A10"
